Repeat,Plant,Time,Treatment,Stomata,Width,Length,Ratio
1,1,0,Time 0 (top),1,0.94,6.25,0.1504
1,1,0,Time 0 (top),2,0.948,9.897,0.095786602
1,1,0,Time 0 (top),3,0.485,11.585,0.04186448
1,1,0,Time 0 (top),4,0.271,11.091,0.024434226
1,1,0,Time 0 (top),5,1.149,8.21,0.139951279
1,1,0,Time 0 (top),6,2.548,9.462,0.269287677
1,1,0,Time 0 (top),7,1.871,4.702,0.397915781
1,1,0,Time 0 (top),8,1.924,9.479,0.202974997
1,1,0,Time 0 (top),9,0.815,10.592,0.076944864
1,1,0,Time 0 (top),10,1.519,4.138,0.367085549
1,2,0,Time 0 (top),11,1.074,6.966,0.154177433
1,2,0,Time 0 (top),12,1.496,5.081,0.29443023
1,2,0,Time 0 (top),13,0.927,12.517,0.074059279
1,2,0,Time 0 (top),14,0.867,5.026,0.172502984
1,2,0,Time 0 (top),15,0.606,10.667,0.056810725
1,2,0,Time 0 (top),16,0.94,7.365,0.127630686
1,2,0,Time 0 (top),17,1.676,8.628,0.194251275
1,2,0,Time 0 (top),18,0.788,6.276,0.12555768
1,2,0,Time 0 (top),19,1.106,7.487,0.147722719
1,2,0,Time 0 (top),20,0.766,9.725,0.078766067
1,3,0,Time 0 (top),21,0.722,12.283,0.058780428
1,3,0,Time 0 (top),22,1.419,5.622,0.252401281
1,3,0,Time 0 (top),23,1.631,9.141,0.178426868
1,3,0,Time 0 (top),24,1.505,8.268,0.182027092
1,3,0,Time 0 (top),25,0.662,6.812,0.097181445
1,3,0,Time 0 (top),26,1.151,6.456,0.178283767
1,3,0,Time 0 (top),27,2.172,8.679,0.250259246
1,3,0,Time 0 (top),28,1.543,10.549,0.146269789
1,3,0,Time 0 (top),29,0.994,11.736,0.08469666
1,3,0,Time 0 (top),30,2.666,11.599,0.229847401
2,1,0,Time 0 (top),31,0.406,15.951,0.02545295
2,1,0,Time 0 (top),32,0.597,5.767,0.103520028
2,1,0,Time 0 (top),33,1.514,4.248,0.356403013
2,1,0,Time 0 (top),34,0.549,9.675,0.056744186
2,1,0,Time 0 (top),35,1.138,5.396,0.210896961
2,1,0,Time 0 (top),36,0.691,11.163,0.061900923
2,1,0,Time 0 (top),37,0.624,8.439,0.07394241
2,1,0,Time 0 (top),38,1.225,5.085,0.240904621
2,1,0,Time 0 (top),39,1.459,6.169,0.236505106
2,1,0,Time 0 (top),40,1.165,5.679,0.20514175
2,2,0,Time 0 (top),41,1.489,9.925,0.150025189
2,2,0,Time 0 (top),42,0.471,8.634,0.054551772
2,2,0,Time 0 (top),43,1.249,5.564,0.224478792
2,2,0,Time 0 (top),44,1.222,12.081,0.101150567
2,2,0,Time 0 (top),45,0.766,17.421,0.043969921
2,2,0,Time 0 (top),46,1.591,11.704,0.135936432
2,2,0,Time 0 (top),47,0.749,9.429,0.079435783
2,2,0,Time 0 (top),48,0.842,5.373,0.156709473
2,2,0,Time 0 (top),49,1.881,4.961,0.379157428
2,2,0,Time 0 (top),50,1.274,9.875,0.129012658
2,3,0,Time 0 (top),51,2.194,6.416,0.341957606
2,3,0,Time 0 (top),52,0.521,11.907,0.043755774
2,3,0,Time 0 (top),53,0.406,12.815,0.031681623
2,3,0,Time 0 (top),54,0.79,9.54,0.082809224
2,3,0,Time 0 (top),55,0.428,10.609,0.040343105
2,3,0,Time 0 (top),56,1.153,4.248,0.271421846
2,3,0,Time 0 (top),57,0.824,12.22,0.067430442
2,3,0,Time 0 (top),58,0.749,9.387,0.079791201
2,3,0,Time 0 (top),59,1.714,14.685,0.116717739
2,3,0,Time 0 (top),60,0.911,9.581,0.09508402
3,1,0,Time 0 (top),61,1.535,6.504,0.23600861
3,1,0,Time 0 (top),62,0.511,11.089,0.046081703
3,1,0,Time 0 (top),63,0.353,12.1,0.029173554
3,1,0,Time 0 (top),64,0.575,5.747,0.100052201
3,1,0,Time 0 (top),65,0.691,9.562,0.072265216
3,1,0,Time 0 (top),66,1.782,12.084,0.147467726
3,1,0,Time 0 (top),67,0.518,9.787,0.052927353
3,1,0,Time 0 (top),68,0.94,3.956,0.237613751
3,1,0,Time 0 (top),69,0.948,5.72,0.165734266
3,1,0,Time 0 (top),70,1.456,4.606,0.316109422
3,2,0,Time 0 (top),71,1.474,5.953,0.247606249
3,2,0,Time 0 (top),72,0.882,6.303,0.139933365
3,2,0,Time 0 (top),73,0.575,5.75,0.1
3,2,0,Time 0 (top),74,1.165,4.114,0.283179387
3,2,0,Time 0 (top),75,0.79,4.665,0.169346195
3,2,0,Time 0 (top),76,1.604,6.618,0.242369296
3,2,0,Time 0 (top),77,0.73,13.249,0.055098498
3,2,0,Time 0 (top),78,1.515,4.496,0.336966192
3,2,0,Time 0 (top),79,0.84,3.776,0.222457627
