"Repeat","Plant","Treatment","Genotype","Stomata","Width","Length","Ratio"
1,1,"PreDawn","Col-0","1",2.107,6.575,0.320456273764259
1,1,"PreDawn","Col-0","2",0.974,8.585,0.113453698311008
1,1,"PreDawn","Col-0","3",2.919,14.284,0.204354522542705
1,1,"PreDawn","Col-0","4",0.752,8.616,0.0872794800371402
1,1,"PreDawn","Col-0","5",2.158,9.638,0.223905374559037
1,1,"PreDawn","Col-0","6",1.679,10.08,0.16656746031746
1,1,"PreDawn","Col-0","7",0.87,7.174,0.121271257318093
1,1,"PreDawn","Col-0","8",2.394,4.794,0.499374217772215
1,1,"PreDawn","Col-0","9",1.727,8.997,0.191952873179949
1,1,"PreDawn","Col-0","10",2.218,6.896,0.321635730858469
1,1,"PreDawn","uvr8-6","271",1.12,10.062,0.111309878751739
1,1,"PreDawn","uvr8-6","272",2.05,7.383,0.277664905864825
1,1,"PreDawn","uvr8-6","273",2.02,5.789,0.348937640352392
1,1,"PreDawn","uvr8-6","274",2.02,6.67,0.302848575712144
1,1,"PreDawn","uvr8-6","275",2.373,7.508,0.316062866275972
1,1,"PreDawn","uvr8-6","276",1.314,6.418,0.204736678092864
1,1,"PreDawn","uvr8-6","277",1.777,8.335,0.213197360527894
1,1,"PreDawn","uvr8-6","278",1.885,8.285,0.227519613759807
1,1,"PreDawn","uvr8-6","279",2.437,12.554,0.194121395571133
1,1,"PreDawn","uvr8-6","280",3.21,8.849,0.362752853429766
1,1,"PreDawn","cop1","811",3.207,9.55,0.335811518324607
1,1,"PreDawn","cop1","812",4.172,7.712,0.54097510373444
1,1,"PreDawn","cop1","813",3.839,8.621,0.445307968913119
1,1,"PreDawn","cop1","814",2.797,7.885,0.354724159797083
1,1,"PreDawn","cop1","815",3.495,8.174,0.427575238561292
1,1,"PreDawn","cop1","816",3.096,7.779,0.397994600848438
1,1,"PreDawn","cop1","817",4.075,8.932,0.456224809673086
1,1,"PreDawn","cop1","818",4.355,10.198,0.427044518533046
1,1,"PreDawn","cop1","819",3.29,8.364,0.393352462936394
1,1,"PreDawn","cop1","820",2.885,5.757,0.501129060274448
1,1,"WL","Col-0","91",4.09,14.162,0.288801016805536
1,1,"WL","Col-0","92",2.773,6.105,0.454217854217854
1,1,"WL","Col-0","93",3.324,9.644,0.344670261302364
