Repeat,Plant,Genotype,Treatment,Stomata,Width,Length,Ratio
1,1,Col-0,PreDawn,1,1.73,11.019,0.157001543
1,1,Col-0,PreDawn,2,1.978,6.125,0.322938776
1,1,Col-0,PreDawn,3,1.681,5.312,0.316453313
1,1,Col-0,PreDawn,4,1.838,6.245,0.294315452
1,1,Col-0,PreDawn,5,1.821,5.665,0.321447485
1,1,Col-0,PreDawn,6,1.663,5.449,0.305193614
1,1,Col-0,PreDawn,7,1.006,8.949,0.112414795
1,1,Col-0,PreDawn,8,1.75,7.865,0.222504768
1,1,Col-0,PreDawn,9,1.82,6.457,0.281864643
1,1,Col-0,PreDawn,10,1.615,5.791,0.278881022
1,2,Col-0,PreDawn,11,1.767,6.926,0.255125614
1,2,Col-0,PreDawn,12,1.386,6.538,0.211991435
1,2,Col-0,PreDawn,13,2.098,9.652,0.217364277
1,2,Col-0,PreDawn,14,2.677,8.304,0.322374759
1,2,Col-0,PreDawn,15,1.109,9.243,0.11998269
1,2,Col-0,PreDawn,16,1.075,6.189,0.173695266
1,2,Col-0,PreDawn,17,1.53,6.116,0.250163506
1,2,Col-0,PreDawn,18,1.633,8.716,0.187356586
1,2,Col-0,PreDawn,19,1.423,4.989,0.285227501
1,2,Col-0,PreDawn,20,0.655,12.394,0.052848152
1,3,Col-0,PreDawn,21,0.544,9.265,0.058715596
1,3,Col-0,PreDawn,22,1.813,4.085,0.443818849
1,3,Col-0,PreDawn,23,1.775,6.189,0.28679916
1,3,Col-0,PreDawn,24,1.299,4.629,0.280622165
1,3,Col-0,PreDawn,25,1.371,4.637,0.295665301
1,3,Col-0,PreDawn,26,1.135,4.399,0.258013185
1,3,Col-0,PreDawn,27,0.79,7.587,0.104125478
1,3,Col-0,PreDawn,28,1.216,5.078,0.239464356
1,3,Col-0,PreDawn,29,1.695,5.027,0.337179232
1,3,Col-0,PreDawn,30,1.205,3.43,0.351311953
2,1,Col-0,PreDawn,31,2.098,9.446,0.222104595
2,1,Col-0,PreDawn,32,2.266,5.73,0.395462478
2,1,Col-0,PreDawn,33,1.674,7.024,0.23832574
2,1,Col-0,PreDawn,34,2.34,6.132,0.381604697
2,1,Col-0,PreDawn,35,1.878,4.936,0.380470016
2,1,Col-0,PreDawn,36,1.891,6.574,0.287648312
2,1,Col-0,PreDawn,37,1.6,9.183,0.174234999
2,1,Col-0,PreDawn,38,1.656,7.247,0.228508348
2,1,Col-0,PreDawn,39,1.604,9.656,0.166114333
2,1,Col-0,PreDawn,40,1.554,4.378,0.354956601
2,2,Col-0,PreDawn,41,1.636,7.529,0.217293133
2,2,Col-0,PreDawn,42,1.476,6.719,0.219675547
2,2,Col-0,PreDawn,43,2.113,8.487,0.248969011
2,2,Col-0,PreDawn,44,1.506,8.561,0.175914029
2,2,Col-0,PreDawn,45,1.805,9.266,0.194798187
2,2,Col-0,PreDawn,46,2.155,12.193,0.176740753
2,2,Col-0,PreDawn,47,1.775,9.203,0.19287189
2,2,Col-0,PreDawn,48,2.324,7.44,0.312365591
2,2,Col-0,PreDawn,49,2.074,13.025,0.159232246
2,2,Col-0,PreDawn,50,1.777,4.347,0.40878767
2,3,Col-0,PreDawn,51,1.343,9.312,0.144222509
2,3,Col-0,PreDawn,52,1.157,10.392,0.111335643
2,3,Col-0,PreDawn,53,1.079,8.198,0.131617468
2,3,Col-0,PreDawn,54,2.013,10.519,0.191368001
2,3,Col-0,PreDawn,55,1.627,5.863,0.277502985
2,3,Col-0,PreDawn,56,1.59,6.244,0.254644459
2,3,Col-0,PreDawn,57,1.464,4.283,0.341816484
2,3,Col-0,PreDawn,58,1.738,4.48,0.387946429
2,3,Col-0,PreDawn,59,1.215,3.573,0.340050378
2,3,Col-0,PreDawn,60,2.363,6.768,0.349143026
3,1,Col-0,PreDawn,61,2.209,5.784,0.381915629
3,1,Col-0,PreDawn,62,2.049,11.144,0.183865757
3,1,Col-0,PreDawn,63,2.243,11.311,0.198302537
3,1,Col-0,PreDawn,64,1.717,10.692,0.160587355
3,1,Col-0,PreDawn,65,1.775,5.381,0.329864337
3,1,Col-0,PreDawn,66,2.57,9.735,0.263995891
3,1,Col-0,PreDawn,67,2.412,11.897,0.202740187
3,1,Col-0,PreDawn,68,0.931,10.188,0.091382018
3,1,Col-0,PreDawn,69,1.777,12.652,0.140452102
3,1,Col-0,PreDawn,70,0.793,9.342,0.084885463
3,2,Col-0,PreDawn,71,1.775,10.812,0.164169441
3,2,Col-0,PreDawn,72,2.248,8.891,0.252839951
3,2,Col-0,PreDawn,73,2.585,8.954,0.288697789
3,2,Col-0,PreDawn,74,2.141,6.399,0.334583529
3,2,Col-0,PreDawn,75,1.952,9.335,0.209105517
3,2,Col-0,PreDawn,76,1.642,8.706,0.188605559
3,2,Col-0,PreDawn,77,0.906,4.067,0.222768626
3,2,Col-0,PreDawn,78,2.627,8.049,0.326375947
3,2,Col-0,PreDawn,79,1.382,5.906,0.233999323
3,2,Col-0,PreDawn,80,1.354,5.025,0.269452736
3,3,Col-0,PreDawn,81,2.113,5.565,0.379694519
3,3,Col-0,PreDawn,82,2.071,9.549,0.216881349
3,3,Col-0,PreDawn,83,1.506,8.313,0.181162035
3,3,Col-0,PreDawn,84,1.37,6.558,0.208905154
3,3,Col-0,PreDawn,85,1.391,7.275,0.191202749
3,3,Col-0,PreDawn,86,2.063,9.726,0.212111865
3,3,Col-0,PreDawn,87,1.99,7.44,0.267473118
3,3,Col-0,PreDawn,88,1.978,9.855,0.200710299
3,3,Col-0,PreDawn,89,2.155,7.438,0.289728422
3,3,Col-0,PreDawn,90,2.263,6.781,0.333726589
1,1,Col-0,WL,91,1.534,5.629,0.272517321
1,1,Col-0,WL,92,1.329,4.803,0.276702061
1,1,Col-0,WL,93,1.039,3.055,0.3400982
1,1,Col-0,WL,94,1.135,4.539,0.250055078
1,1,Col-0,WL,95,2.091,5.045,0.414469772
1,1,Col-0,WL,96,1.949,4.504,0.432726465
1,1,Col-0,WL,97,2.404,6.445,0.373002327
1,1,Col-0,WL,98,1.292,8.017,0.16115754
1,1,Col-0,WL,99,1.595,5.386,0.296138136
1,1,Col-0,WL,100,1.909,4.686,0.407383696
1,2,Col-0,WL,101,2.288,4.467,0.512200582
1,2,Col-0,WL,102,1.605,4.383,0.366187543
1,2,Col-0,WL,103,1.749,5.736,0.304916318
1,2,Col-0,WL,104,1.824,4.826,0.377952756
1,2,Col-0,WL,105,2.192,8.596,0.255002327
1,2,Col-0,WL,106,2.235,4.243,0.526749941
1,2,Col-0,WL,107,2.02,4.034,0.500743679
1,2,Col-0,WL,108,2.131,4.556,0.467734855
1,2,Col-0,WL,109,2.421,4.493,0.538838193
1,2,Col-0,WL,110,2.638,6.169,0.427621981
1,3,Col-0,WL,111,2.014,11.619,0.173336776
1,3,Col-0,WL,112,1.288,4.96,0.259677419
1,3,Col-0,WL,113,1.779,4.327,0.411139358
1,3,Col-0,WL,114,2.043,6.377,0.32037008
1,3,Col-0,WL,115,1.669,4.086,0.408467939
1,3,Col-0,WL,116,1.662,3.61,0.460387812
1,3,Col-0,WL,117,0.982,11.817,0.083100618
1,3,Col-0,WL,118,2.493,7.843,0.317863063
1,3,Col-0,WL,119,2.39,7.355,0.324949014
1,3,Col-0,WL,120,2.857,8.76,0.326141553
2,1,Col-0,WL,121,2.716,7.885,0.34445149
2,1,Col-0,WL,122,2.139,4.956,0.431598063
2,1,Col-0,WL,123,2.409,7.214,0.333934017
2,1,Col-0,WL,124,1.463,7.248,0.201848786
2,1,Col-0,WL,125,1.402,5.918,0.23690436
2,1,Col-0,WL,126,1.799,7.939,0.226602847
2,1,Col-0,WL,127,2.042,5.457,0.374198277
2,1,Col-0,WL,128,2.195,5.759,0.381142559
2,1,Col-0,WL,129,1.595,8.018,0.198927413
2,1,Col-0,WL,130,1.487,6.805,0.218515797
2,2,Col-0,WL,131,2.111,5.885,0.358708581
2,2,Col-0,WL,132,2.934,9.492,0.309102402
2,2,Col-0,WL,133,2.68,8.376,0.319961796
2,2,Col-0,WL,134,2.24,5.797,0.386406762
2,2,Col-0,WL,135,2.728,7.99,0.341426783
2,2,Col-0,WL,136,3.364,8.088,0.415924827
2,2,Col-0,WL,137,2.436,5.975,0.407698745
2,2,Col-0,WL,138,2.692,6.116,0.440156965
2,2,Col-0,WL,139,3.282,8.331,0.393950306
2,2,Col-0,WL,140,2.696,9.443,0.285502489
2,3,Col-0,WL,141,1.672,8.864,0.188628159
2,3,Col-0,WL,142,2.713,8.329,0.325729379
2,3,Col-0,WL,143,2.23,9.729,0.229211635
2,3,Col-0,WL,144,2.005,7.77,0.258043758
2,3,Col-0,WL,145,2.587,6.482,0.399105214
2,3,Col-0,WL,146,2.488,7.957,0.312680659
2,3,Col-0,WL,147,2.55,7.444,0.342557765
2,3,Col-0,WL,148,2.365,8.54,0.276932084
2,3,Col-0,WL,149,2.315,8.53,0.271395076
2,3,Col-0,WL,150,2.619,5.851,0.447615792
3,1,Col-0,WL,151,1.854,9.199,0.201543646
3,1,Col-0,WL,152,2.764,10.741,0.25733172
3,1,Col-0,WL,153,2.792,6.698,0.416840848
3,1,Col-0,WL,154,1.983,9.225,0.21495935
3,1,Col-0,WL,155,1.781,9.476,0.187948501
3,1,Col-0,WL,156,2.098,7.154,0.29326251
3,1,Col-0,WL,157,2.856,6.781,0.421176818
3,1,Col-0,WL,158,2.514,7.645,0.328842381
3,1,Col-0,WL,159,1.978,7.089,0.27902384
3,1,Col-0,WL,160,2.071,7.459,0.27765116
3,2,Col-0,WL,161,2.407,12.382,0.19439509
3,2,Col-0,WL,162,3.896,8.56,0.455140187
3,2,Col-0,WL,163,1.27,11.275,0.112638581
3,2,Col-0,WL,164,1.724,8.107,0.21265573
3,2,Col-0,WL,165,2.162,9.664,0.223716887
3,2,Col-0,WL,166,1.899,3.737,0.508161627
3,2,Col-0,WL,167,2.702,10.706,0.252381842
3,2,Col-0,WL,168,1.984,6.689,0.296606369
3,2,Col-0,WL,169,2.733,9.344,0.292487158
3,2,Col-0,WL,170,2.683,5.503,0.487552244
3,3,Col-0,WL,171,2.746,8.306,0.330604382
3,3,Col-0,WL,172,2.672,6.425,0.415875486
3,3,Col-0,WL,173,2.417,11.251,0.214825349
3,3,Col-0,WL,174,2.454,9.415,0.260647902
3,3,Col-0,WL,175,3.839,11.686,0.32851275
3,3,Col-0,WL,176,2.7,6.244,0.432415119
3,3,Col-0,WL,177,1.601,10.333,0.154940482
3,3,Col-0,WL,178,1.222,11.01,0.110990009
3,3,Col-0,WL,179,2.684,7.316,0.366867141
3,3,Col-0,WL,180,3.316,9.408,0.352465986
1,1,Col-0,UVB,181,2.241,6.312,0.355038023
1,1,Col-0,UVB,182,3.597,12.461,0.288660621
1,1,Col-0,UVB,183,2.326,6.333,0.367282489
1,1,Col-0,UVB,184,2.275,6.596,0.344906004
1,1,Col-0,UVB,185,2.377,5.896,0.403154681
1,1,Col-0,UVB,186,1.856,5.85,0.317264957
1,1,Col-0,UVB,187,2.348,10.181,0.230625675
1,1,Col-0,UVB,188,2.338,5.62,0.416014235
1,1,Col-0,UVB,189,2.043,4.605,0.443648208
