Index,Width,Length,Treatment,Genotype,Plant,Repeat
0,2.19108,8.683472,WL,Col-0,1,1
1,2.081464,8.736544,WL,Col-0,1,1
2,2.551176,9.568088,WL,Col-0,1,1
3,1.66656,11.783968,WL,Col-0,1,1
4,1.147496,10.745344,WL,Col-0,1,1
5,2.675672,9.586192,WL,Col-0,1,1
6,2.43784,8.366032,WL,Col-0,1,1
7,2.80488,13.079768,WL,Col-0,1,1
8,1.830736,11.035504,WL,Col-0,1,1
9,2.264736,11.356912,WL,Col-0,1,1
10,1.933408,11.785208,WL,Col-0,1,1
11,1.915056,10.574472,WL,Col-0,1,1
12,1.238512,8.353632,Predawn,Col-0,4,1
13,2.140984,7.375768,Predawn,Col-0,4,1
14,1.278192,8.244016,Predawn,Col-0,4,1
15,2.797688,7.109416,Predawn,Col-0,4,1
16,0.733088,9.7216,Predawn,Col-0,4,1
17,0.863536,10.080952,Predawn,Col-0,4,1
18,1.381112,9.175008,Predawn,Col-0,4,1
19,2.06832,7.068248,Predawn,Col-0,4,1
20,1.524208,14.767656,Predawn,Col-0,4,1
21,0.790376,12.910632,Predawn,Col-0,4,1
22,0.739288,11.27904,Predawn,Col-0,4,1
23,0.992496,9.293056,Predawn,Col-0,4,1
24,3.255992,11.519848,WL,Col-0,2,1
25,2.227288,12.912368,WL,Col-0,2,1
26,2.278376,10.96904,WL,Col-0,2,1
27,2.120152,11.568208,WL,Col-0,2,1
28,1.567608,10.345072,WL,Col-0,2,1
29,1.188168,10.375824,WL,Col-0,2,1
30,1.999376,12.50912,WL,Col-0,2,1
31,1.63308,10.230496,WL,Col-0,2,1
32,2.945248,8.042392,WL,Col-0,2,1
33,2.479504,9.43516,WL,Col-0,2,1
34,2.631032,12.411408,WL,Col-0,2,1
35,3.455384,16.409416,WL,Col-0,2,1
48,1.295304,14.593808,Predawn,blus1-3,1,1
49,2.412544,8.847152,Predawn,blus1-3,1,1
50,1.496432,8.721664,Predawn,blus1-3,1,1
51,2.06956,8.619736,Predawn,blus1-3,1,1
52,3.396112,10.962592,Predawn,blus1-3,1,1
53,1.909848,6.559104,Predawn,blus1-3,1,1
54,1.365984,14.098304,Predawn,blus1-3,1,1
55,2.320784,10.128568,Predawn,blus1-3,1,1
56,0.413416,10.131048,Predawn,blus1-3,1,1
57,2.137264,9.497656,Predawn,blus1-3,1,1
58,1.911584,7.308064,Predawn,blus1-3,1,1
59,2.14272,11.54192,Predawn,blus1-3,1,1
96,2.498104,14.672176,Predawn,blus1-3,2,1
97,5.352832,14.525608,Predawn,blus1-3,2,1
98,2.218112,7.589048,Predawn,blus1-3,2,1
99,2.279368,17.323296,Predawn,blus1-3,2,1
100,3.452408,11.67832,Predawn,blus1-3,2,1
101,4.14904,11.336328,Predawn,blus1-3,2,1
102,3.716032,8.55848,Predawn,blus1-3,2,1
103,4.068688,12.498952,Predawn,blus1-3,2,1
104,3.338824,12.382392,Predawn,blus1-3,2,1
105,4.124736,8.99124,Predawn,blus1-3,2,1
106,4.996456,13.751104,Predawn,blus1-3,2,1
107,5.521224,24.041368,Predawn,blus1-3,3,1
108,4.977112,13.137056,Predawn,blus1-3,3,1
109,5.06912,19.776512,Predawn,blus1-3,3,1
110,3.676848,16.348904,Predawn,blus1-3,3,1
111,5.48452,15.305568,Predawn,blus1-3,3,1
112,6.2558,15.085344,Predawn,blus1-3,3,1
6,4.872456,21.774648,Predawn,blus1-3,3,1
7,3.388176,9.868912,Predawn,blus1-3,3,1
8,3.770592,14.584384,Predawn,blus1-3,3,1
9,3.86384,20.449584,Predawn,blus1-3,3,1
10,1.328536,11.93872,Predawn,blus1-3,3,1
11,3.7076,9.3992,Predawn,blus1-3,3,1
12,1.890752,6.52364,UV,Col-0,3,1
13,2.68708,6.696744,UV,Col-0,3,1
14,2.251344,8.5002,UV,Col-0,3,1
15,1.784112,8.465232,UV,Col-0,3,1
16,3.1868,11.510424,UV,Col-0,3,1
17,2.918216,9.35704,UV,Col-0,3,1
18,3.761416,9.585696,UV,Col-0,3,1
19,1.455016,10.620848,UV,Col-0,3,1
20,2.214144,7.82812,UV,Col-0,3,1
21,1.972592,9.433672,UV,Col-0,3,1
22,3.225984,9.698784,UV,Col-0,3,1
23,2.261264,9.062416,UV,Col-0,3,1
0,2.5482,7.297896,WL,blus1-3,3,1
1,2.224312,11.330624,WL,blus1-3,3,1
2,3.368832,12.330808,WL,blus1-3,3,1
3,2.918712,9.322072,WL,blus1-3,3,1
4,1.97036,10.144688,WL,blus1-3,3,1
5,2.519928,7.307816,WL,blus1-3,3,1
6,2.330456,7.030056,WL,blus1-3,3,1
7,1.593896,6.232984,WL,blus1-3,3,1
8,1.436168,10.310104,WL,blus1-3,3,1
9,2.67468,7.138928,WL,blus1-3,3,1
10,3.86508,10.337632,WL,blus1-3,3,1
11,1.689128,10.8934,WL,blus1-3,3,1
12,3.533752,11.353936,UV,blus1-3,2,1
13,3.823168,13.581968,UV,blus1-3,2,1
14,1.802216,8.068928,UV,blus1-3,2,1
15,2.320288,11.299624,UV,blus1-3,2,1
16,2.166776,6.726008,UV,blus1-3,2,1
17,2.657072,12.685448,UV,blus1-3,2,1
18,1.934152,10.827928,UV,blus1-3,2,1
19,4.290648,13.3796,UV,blus1-3,2,1
