"Genotype","Treatment","Plant","Width","Length","Repeat"
"pif47","WL",2,2.71687114260291,11.1842919916134,1
"pif47","WL",2,2.82626870523664,12.0696202303936,1
"pif47","WL",2,2.97427717232934,6.77027359340074,1
"pif47","WL",2,3.71456701359064,10.8558517979144,1
"pif47","WL",2,4.48752762016337,13.3029416209002,1
"pif47","WL",2,2.73122647887611,7.73158611210983,1
"pif47","WL",2,2.72157375276137,10.5338467549585,1
"pif47","WL",2,2.5597049609911,10.0177971665166,1
"pif47","WL",2,2.21492938463637,8.95277971852349,1
"pif47","WL",2,3.31657769070593,9.7022272743039,1
"pif4","WL",2,2.76884736014382,7.45314208956922,1
"pif4","WL",2,3.82544961101125,8.72358934974784,1
"pif4","WL",2,2.18176360772931,10.6241863711606,1
"pif4","WL",2,3.65962072647596,9.02777397526109,1
"pif4","WL",2,2.39338106486017,7.9112753213227,1
"pif4","WL",2,3.46532867519206,14.5783389970351,1
"pif4","WL",2,1.99539174197546,10.2771832426255,1
"pif4","WL",2,2.65227212937348,10.5821103855322,1
"pif4","WL",2,2.40649887214431,7.99814985635537,1
"pif4","WL",2,3.49205930135596,7.9397384880713,1
"Col-0","FR",2,2.41986418522626,10.9838122953841,1
"Col-0","FR",2,1.9567808375165,12.3512818283058,1
"Col-0","FR",2,2.02682497829782,11.8711205805469,1
"Col-0","FR",2,0.911316347550688,8.21397491204907,1
"Col-0","FR",2,1.93797039688264,9.26438951797116,1
"Col-0","FR",2,2.08325630019939,6.8784336270454,1
"Col-0","FR",2,1.98697654484979,7.15440259160787,1
"Col-0","FR",2,1.8105049110085,9.67623916553345,1
"Col-0","FR",2,2.0835038059972,12.3663796819725,1
"Col-0","FR",2,1.19743304982353,8.75774514984615,1
"pif47","PreDawn",3,2.74780936732964,14.2404935830191,1
"pif47","PreDawn",3,1.54616871894328,9.95121810690466,1
"pif47","PreDawn",3,1.91816993305753,8.7478449179336,1
"pif47","PreDawn",3,2.17557596278396,10.9897524345317,1
"pif47","PreDawn",3,1.52834830150068,7.44274684606104,1
"pif47","PreDawn",3,3.42399520695715,10.2026839974836,1
"pif47","PreDawn",3,2.55896244359765,16.8373244136823,1
"pif47","PreDawn",3,2.79434045731865,14.2731643483305,1
"pif47","PreDawn",3,2.28819110078927,7.90286012419703,1
"pif47","PreDawn",3,1.9622259650684,9.51263783317847,1
"Col-0","FR",3,0.396256782300014,8.33203517760629,1
"Col-0","FR",3,1.05016710012427,7.29424336737271,1
"Col-0","FR",3,0.793503587791283,7.22840682515422,1
"Col-0","FR",3,0.437590250534931,8.7532900454855,1
"Col-0","FR",3,1.22045108902022,12.5807197028793,1
"Col-0","FR",3,0.572975921939121,10.5662700144721,1
"Col-0","FR",3,0.456895702764413,8.79115843255103,1
"Col-0","FR",3,1.73699568905778,7.98206197949747,1
"Col-0","FR",3,1.16104969754489,7.76895948757972,1
"Col-0","FR",3,1.05363218129367,9.50125256647904,1
"pif4","FR",3,1.38677498515114,6.16066681338516,1
