rep,ABA (ng / FW g),Treatment,Genotype
17,6.138177241,FR,Col-0
20,6.624921269,FR,Col-0
21,4.990508889,FR,Col-0
17,4.521195018,FRUV,Col-0
20,2.254259328,FRUV,Col-0
21,5.927476897,FRUV,Col-0
17,2.436699333,UV,Col-0
20,5.014379487,UV,Col-0
21,2.399162353,UV,Col-0
17,3.48299617,WL,Col-0
20,4.752386432,WL,Col-0
21,5.528969412,WL,Col-0
17,5.285873134,FR,uvr8-6
20,7.568042442,FR,uvr8-6
21,9.003273143,FR,uvr8-6
17,4.119709821,FRUV,uvr8-6
20,6.931151293,FRUV,uvr8-6
21,4.69558,FRUV,uvr8-6
17,2.607840702,UV,uvr8-6
20,4.202215808,UV,uvr8-6
21,3.8367405,UV,uvr8-6
17,3.296064531,WL,uvr8-6
20,3.479010882,WL,uvr8-6
21,5.337942778,WL,uvr8-6
12,3.614975557,FR,Col-0
13,6.981709177,FR,uvr8-6
12,7.101963279,FRUV,uvr8-6
12,2.659034805,WL,Col-0
13,3.790618437,FR,Col-0
13,7.63132239,FRUV,uvr8-6
12,3.598701521,UV,uvr8-6
12,7.343494439,FR,uvr8-6
12,2.09887166,WL,uvr8-6
13,3.603584839,UV,uvr8-6
12,4.541251086,FRUV,Col-0
12,2.306546073,UV,Col-0
13,1.903608328,UV,Col-0
13,3.425621401,WL,uvr8-6
13,2.39066234,WL,Col-0
13,3.918815745,FRUV,Col-0
