"Repeat","Genotype","Treatment","Plant","Stomata","Width","Length","Ratio"
1,"Col-0","PreDawn",1,"1",2.209,5.784,0.381915629322268
1,"Col-0","PreDawn",1,"2",2.049,11.144,0.18386575735822
1,"Col-0","PreDawn",1,"3",2.243,11.311,0.198302537353019
1,"Col-0","PreDawn",1,"4",1.717,10.692,0.1605873550318
1,"Col-0","PreDawn",1,"5",1.775,5.381,0.329864337483739
1,"Col-0","PreDawn",1,"6",2.57,9.735,0.263995891114535
1,"Col-0","PreDawn",1,"7",2.412,11.897,0.202740186601664
1,"Col-0","PreDawn",1,"8",0.931,10.188,0.0913820180604633
1,"Col-0","PreDawn",1,"9",1.777,12.652,0.140452102434398
1,"Col-0","PreDawn",1,"10",0.793,9.342,0.0848854634981803
1,"Col-0","PreDawn",2,"11",1.775,10.812,0.16416944136145
1,"Col-0","PreDawn",2,"12",2.248,8.891,0.252839950511754
1,"Col-0","PreDawn",2,"13",2.585,8.954,0.288697788697789
1,"Col-0","PreDawn",2,"14",2.141,6.399,0.334583528676356
1,"Col-0","PreDawn",2,"15",1.952,9.335,0.209105516871987
1,"Col-0","PreDawn",2,"16",1.642,8.706,0.188605559384333
1,"Col-0","PreDawn",2,"17",0.906,4.067,0.222768625522498
1,"Col-0","PreDawn",2,"18",2.627,8.049,0.326375947322649
1,"Col-0","PreDawn",2,"19",1.382,5.906,0.233999322722655
1,"Col-0","PreDawn",2,"20",1.354,5.025,0.269452736318408
1,"Col-0","PreDawn",3,"21",2.113,5.565,0.379694519317161
1,"Col-0","PreDawn",3,"22",2.071,9.549,0.216881348832339
1,"Col-0","PreDawn",3,"23",1.506,8.313,0.181162035366294
1,"Col-0","PreDawn",3,"24",1.37,6.558,0.208905154010369
1,"Col-0","PreDawn",3,"25",1.391,7.275,0.191202749140893
1,"Col-0","PreDawn",3,"26",2.063,9.726,0.212111865103845
1,"Col-0","PreDawn",3,"27",1.99,7.44,0.26747311827957
1,"Col-0","PreDawn",3,"28",1.978,9.855,0.200710299340436
1,"Col-0","PreDawn",3,"29",2.155,7.438,0.289728421618715
1,"Col-0","PreDawn",3,"30",2.263,6.781,0.333726588998673
1,"Col-0","WL",1,"91",1.854,9.199,0.201543646048484
1,"Col-0","WL",1,"92",2.764,10.741,0.257331719579183
1,"Col-0","WL",1,"93",2.792,6.698,0.416840848014333
1,"Col-0","WL",1,"94",1.983,9.225,0.214959349593496
1,"Col-0","WL",1,"95",1.781,9.476,0.187948501477417
1,"Col-0","WL",1,"96",2.098,7.154,0.293262510483645
1,"Col-0","WL",1,"97",2.856,6.781,0.421176817578528
1,"Col-0","WL",1,"98",2.514,7.645,0.328842380640942
1,"Col-0","WL",1,"99",1.978,7.089,0.279023839751728
1,"Col-0","WL",1,"100",2.071,7.459,0.277651159672878
1,"Col-0","WL",2,"101",2.407,12.382,0.194395089646261
1,"Col-0","WL",2,"102",3.896,8.56,0.455140186915888
1,"Col-0","WL",2,"103",1.27,11.275,0.112638580931264
1,"Col-0","WL",2,"104",1.724,8.107,0.212655729616381
1,"Col-0","WL",2,"105",2.162,9.664,0.223716887417219
1,"Col-0","WL",2,"106",1.899,3.737,0.508161626973508
1,"Col-0","WL",2,"107",2.702,10.706,0.252381841957781
1,"Col-0","WL",2,"108",1.984,6.689,0.296606368664972
1,"Col-0","WL",2,"109",2.733,9.344,0.292487157534247
1,"Col-0","WL",2,"110",2.683,5.503,0.48755224423042
1,"Col-0","WL",3,"111",2.746,8.306,0.330604382374187
1,"Col-0","WL",3,"112",2.672,6.425,0.415875486381323
1,"Col-0","WL",3,"113",2.417,11.251,0.214825348857879
1,"Col-0","WL",3,"114",2.454,9.415,0.26064790228359
1,"Col-0","WL",3,"115",3.839,11.686,0.328512750299504
1,"Col-0","WL",3,"116",2.7,6.244,0.432415118513773
1,"Col-0","WL",3,"117",1.601,10.333,0.154940481951031
1,"Col-0","WL",3,"118",1.222,11.01,0.110990009082652
1,"Col-0","WL",3,"119",2.684,7.316,0.366867140513942
1,"Col-0","WL",3,"120",3.316,9.408,0.352465986394558
1,"Col-0","UVB",1,"181",3.328,9.495,0.350500263296472
1,"Col-0","UVB",1,"182",4.079,9.712,0.419995881383855
1,"Col-0","UVB",1,"183",3.147,9.205,0.341879413362303
1,"Col-0","UVB",1,"184",3.467,7.912,0.43819514661274
1,"Col-0","UVB",1,"185",2.495,5.437,0.458892771749126
1,"Col-0","UVB",1,"186",2.93,9.74,0.30082135523614
1,"Col-0","UVB",1,"187",3.074,8.42,0.365083135391924
1,"Col-0","UVB",1,"188",2.666,6.145,0.433848657445077
1,"Col-0","UVB",1,"189",2.633,7.872,0.33447662601626
1,"Col-0","UVB",1,"190",3.257,10.694,0.304563306527025
1,"Col-0","UVB",2,"191",1.496,5.035,0.297120158887785
1,"Col-0","UVB",2,"192",2.971,9.059,0.327961143614085
1,"Col-0","UVB",2,"193",3.031,7.055,0.429624379872431
1,"Col-0","UVB",2,"194",2.885,9.491,0.303972184174481
1,"Col-0","UVB",2,"195",2.7,10.042,0.268870742879904
1,"Col-0","UVB",2,"196",2.804,8.967,0.312702130032341
1,"Col-0","UVB",2,"197",1.632,6.827,0.239050827596309
1,"Col-0","UVB",2,"198",2.71,5.99,0.452420701168614
1,"Col-0","UVB",2,"199",2.616,7.312,0.357768052516411
1,"Col-0","UVB",2,"200",2.293,6.195,0.370137207425343
1,"Col-0","UVB",3,"201",3.09,8.876,0.34812978819288
1,"Col-0","UVB",3,"202",2.809,7.27,0.386382393397524
1,"Col-0","UVB",3,"203",2.924,11.77,0.248428207306712
1,"Col-0","UVB",3,"204",3.005,8.32,0.361177884615385
1,"Col-0","UVB",3,"205",2.661,6.397,0.415976238861967
1,"Col-0","UVB",3,"206",4.112,8.302,0.495302336786317
1,"Col-0","UVB",3,"207",3.777,16.167,0.233624048988681
1,"Col-0","UVB",3,"208",3.22,8.092,0.397923875432526
1,"Col-0","UVB",3,"209",3.248,9.502,0.34182277415281
1,"Col-0","UVB",3,"210",3.253,12.136,0.268045484508899
1,"nced3/5","PreDawn",1,"271",4.09,12.715,0.321667322060558
1,"nced3/5","PreDawn",1,"272",4.059,10.858,0.373825750598637
1,"nced3/5","PreDawn",1,"273",3.18,10.336,0.30766253869969
1,"nced3/5","PreDawn",1,"274",3.829,13.622,0.281089414182939
1,"nced3/5","PreDawn",1,"275",3.714,6.098,0.609052148245326
1,"nced3/5","PreDawn",1,"276",4.061,9.312,0.436103951890034
1,"nced3/5","PreDawn",1,"277",3.299,10.361,0.318405559308947
1,"nced3/5","PreDawn",1,"278",2.754,6.846,0.4022787028922
1,"nced3/5","PreDawn",1,"279",2.973,12.999,0.228709900761597
1,"nced3/5","PreDawn",1,"280",3.662,14.239,0.25718098181052
1,"nced3/5","PreDawn",2,"281",2.74,8.306,0.329882013002649
1,"nced3/5","PreDawn",2,"282",3.241,8.459,0.38314221539189
1,"nced3/5","PreDawn",2,"283",2.765,7.381,0.374610486383959
1,"nced3/5","PreDawn",2,"284",3.025,11.907,0.254052238179222
1,"nced3/5","PreDawn",2,"285",4.215,10.93,0.385635864592864
1,"nced3/5","PreDawn",2,"286",4.87,9.438,0.515999152362789
1,"nced3/5","PreDawn",2,"287",1.343,10.84,0.123892988929889
1,"nced3/5","PreDawn",2,"288",4.101,10.376,0.39523901310717
1,"nced3/5","PreDawn",2,"289",3.989,9.96,0.400502008032128
1,"nced3/5","PreDawn",2,"290",3.209,10.789,0.2974325702104
1,"nced3/5","PreDawn",3,"291",3.933,10.466,0.375788266768584
1,"nced3/5","PreDawn",3,"292",3.658,8.593,0.425695333410916
1,"nced3/5","PreDawn",3,"293",2.903,7.936,0.365801411290323
1,"nced3/5","PreDawn",3,"294",2.455,7.261,0.338107698664096
1,"nced3/5","PreDawn",3,"295",2.891,10.47,0.276122254059217
1,"nced3/5","PreDawn",3,"296",1.813,11.016,0.164578794480755
1,"nced3/5","PreDawn",3,"297",4.13,13.36,0.309131736526946
1,"nced3/5","PreDawn",3,"298",3.335,8.162,0.408600833129135
1,"nced3/5","PreDawn",3,"299",3.294,11.829,0.278468171443064
1,"nced3/5","PreDawn",3,"300",5.095,9.83,0.518311291963377
1,"nced3/5","WL",1,"361",3.883,8.445,0.459798697454115
1,"nced3/5","WL",1,"362",3.348,12.142,0.275737110854884
1,"nced3/5","WL",1,"363",4.329,7.919,0.546659931809572
1,"nced3/5","WL",1,"364",4.717,6.741,0.699747811897345
1,"nced3/5","WL",1,"365",5.048,8.323,0.606512074972966
1,"nced3/5","WL",1,"366",2.821,10.078,0.279916650128994
1,"nced3/5","WL",1,"367",3.445,7.526,0.457746478873239
1,"nced3/5","WL",1,"368",4.561,10.587,0.430811372437896
1,"nced3/5","WL",1,"369",3.539,14.742,0.240062406729073
1,"nced3/5","WL",1,"370",2.993,10.751,0.278392707655102
1,"nced3/5","WL",2,"371",5.873,11.161,0.526207329092375
1,"nced3/5","WL",2,"372",3.834,17.428,0.219990819371127
1,"nced3/5","WL",2,"373",2.818,12.619,0.223314050241699
1,"nced3/5","WL",2,"374",3.281,15.282,0.214697029184662
1,"nced3/5","WL",2,"375",1.966,14.001,0.140418541532748
1,"nced3/5","WL",2,"376",3.708,7.547,0.491321054723731
1,"nced3/5","WL",2,"377",4.507,12.215,0.368972574703234
1,"nced3/5","WL",2,"378",3.348,12.616,0.265377298668358
1,"nced3/5","WL",2,"379",3.31,12.033,0.275076871935511
1,"nced3/5","WL",2,"380",3.342,7.56,0.442063492063492
1,"nced3/5","WL",3,"381",3.879,8.556,0.453366058906031
1,"nced3/5","WL",3,"382",3.246,6.413,0.506159363792297
1,"nced3/5","WL",3,"383",3.289,10.668,0.308305211848519
1,"nced3/5","WL",3,"384",2.932,8.75,0.335085714285714
1,"nced3/5","WL",3,"385",3.352,9.033,0.3710838038304
1,"nced3/5","WL",3,"386",4.623,8.84,0.522963800904977
1,"nced3/5","WL",3,"387",5.465,7.909,0.690984953850044
1,"nced3/5","WL",3,"388",3,10.445,0.287218764959311
1,"nced3/5","WL",3,"389",3.862,9.234,0.418236950400693
1,"nced3/5","WL",3,"390",2.298,8.158,0.281686687913704
1,"nced3/5","UVB",1,"451",5.443,9.396,0.579289059174117
1,"nced3/5","UVB",1,"452",4.757,10.005,0.475462268865567
1,"nced3/5","UVB",1,"453",3.671,8.943,0.410488650341049
1,"nced3/5","UVB",1,"454",3.729,10.591,0.352091398357096
1,"nced3/5","UVB",1,"455",3.622,11.562,0.313267600761114
1,"nced3/5","UVB",1,"456",3.363,9.921,0.338977925612337
1,"nced3/5","UVB",1,"457",4.951,7.712,0.641986514522822
1,"nced3/5","UVB",1,"458",4.288,11.208,0.382583868665239
1,"nced3/5","UVB",1,"459",4.228,6.735,0.627765404602821
1,"nced3/5","UVB",1,"460",4.471,11.07,0.403884372177055
1,"nced3/5","UVB",2,"461",4.826,12.171,0.396516309259716
1,"nced3/5","UVB",2,"462",5.132,9.091,0.564514354856451
1,"nced3/5","UVB",2,"463",5.799,11.528,0.503036086051353
1,"nced3/5","UVB",2,"464",3.789,8.087,0.468529739087424
1,"nced3/5","UVB",2,"465",5.054,8.187,0.617320141688042
1,"nced3/5","UVB",2,"466",4.456,10.668,0.417697787776528
1,"nced3/5","UVB",2,"467",6.535,11.461,0.570194572899398
1,"nced3/5","UVB",2,"468",4.393,11.624,0.377924982794219
1,"nced3/5","UVB",2,"469",3.577,16.718,0.213961000119632
1,"nced3/5","UVB",2,"470",3.66,7.968,0.45933734939759
