Width,Length,Treatment,Genotype,Plant,Date,Ratio
1.270694766,7.033619762,UV,bg1,1,23.06.14,0.180660145
1.398160252,9.487144736,UV,bg1,1,23.06.14,0.147374188
2.32358443,8.291444227,UV,bg1,1,23.06.14,0.280238806
1.670664135,7.672927238,UV,bg1,1,23.06.14,0.217734912
2.714148579,7.5261563,UV,bg1,1,23.06.14,0.360628782
2.258737911,11.3253703,UV,bg1,1,23.06.14,0.199440535
2.643114415,7.527641335,UV,bg1,1,23.06.14,0.351121194
2.950516616,7.115791687,UV,bg1,1,23.06.14,0.414643478
1.185800277,8.669138074,UV,bg1,1,23.06.14,0.136784103
2.625293997,5.240935269,UV,bg1,1,23.06.14,0.500920897
3.527205125,8.917881401,UV,bg1,2,23.06.14,0.395520524
2.278043363,5.804010959,UV,bg1,2,23.06.14,0.39249467
4.393227911,10.62492889,UV,bg1,2,23.06.14,0.413483041
2.444367259,9.407695375,UV,bg1,2,23.06.14,0.259826361
3.246038538,7.147224923,UV,bg1,2,23.06.14,0.454167677
3.562103442,7.756831703,UV,bg1,2,23.06.14,0.459221442
6.200515247,9.604462484,UV,bg1,2,23.06.14,0.645586909
2.358730253,10.09650401,UV,bg1,2,23.06.14,0.233618513
2.44312973,7.709558096,UV,bg1,2,23.06.14,0.316896209
1.544683684,9.349779018,UV,bg1,2,23.06.14,0.165210716
2.418874162,10.38534328,WL,bg1,1,23.06.14,0.232912297
2.676527698,9.450266372,WL,bg1,1,23.06.14,0.283222461
3.979150711,9.451256395,WL,bg1,1,23.06.14,0.421018174
3.032936046,7.940976017,WL,bg1,1,23.06.14,0.381934921
1.688979564,9.622777913,WL,bg1,1,23.06.14,0.175518918
1.958018367,7.80534284,WL,bg1,1,23.06.14,0.250856164
3.697241608,9.947010508,WL,bg1,1,23.06.14,0.371693747
1.516220517,9.171079832,WL,bg1,1,23.06.14,0.165326281
2.06444586,12.2433693,WL,bg1,1,23.06.14,0.168617462
2.588663139,6.765818489,WL,bg1,1,23.06.14,0.382609014
1.461026724,6.999711468,WL,Col-0,2,23.06.14,0.208726707
2.228047192,5.899300691,WL,Col-0,2,23.06.14,0.377679883
1.268962225,7.49670311,WL,Col-0,2,23.06.14,0.169269372
1.039524351,10.23436474,WL,Col-0,2,23.06.14,0.101571947
1.776844123,12.41860341,WL,Col-0,2,23.06.14,0.143079223
2.674795157,9.404725305,WL,Col-0,2,23.06.14,0.284409706
1.695414715,5.251578018,WL,Col-0,2,23.06.14,0.322839099
2.518371493,9.990324023,WL,Col-0,2,23.06.14,0.252081062
2.833446373,6.98486112,WL,Col-0,2,23.06.14,0.405655363
3.194309827,11.94487731,WL,Col-0,2,23.06.14,0.267420899
2.142905197,9.82969276,WL,bg1,3,23.06.14,0.218003273
1.609035192,8.955254777,WL,bg1,3,23.06.14,0.179674977
1.567701723,6.600979628,WL,bg1,3,23.06.14,0.237495313
3.438103037,10.46429763,WL,bg1,3,23.06.14,0.328555548
0.884833227,7.081635887,WL,bg1,3,23.06.14,0.124947574
0.764050398,7.503880778,WL,bg1,3,23.06.14,0.101820701
1.114271102,7.119009263,WL,bg1,3,23.06.14,0.15652053
2.177060998,10.08016863,WL,bg1,3,23.06.14,0.215974661
1.068482529,12.3287588,WL,bg1,3,23.06.14,0.086665864
1.809514888,7.096733741,WL,bg1,3,23.06.14,0.254978551
2.599553394,10.21753435,WL,Col-0,3,23.06.14,0.254420813
2.221612041,9.359184239,WL,Col-0,3,23.06.14,0.237372402
3.034421081,6.107205561,WL,Col-0,3,23.06.14,0.496859169
1.699127302,6.362384039,WL,Col-0,3,23.06.14,0.267058274
2.885422591,10.82961618,WL,Col-0,3,23.06.14,0.266438121
2.35303762,8.698096253,WL,Col-0,3,23.06.14,0.270523291
1.901339539,5.131042694,WL,Col-0,3,23.06.14,0.370556172
2.705980887,7.43779673,WL,Col-0,3,23.06.14,0.363814848
0.861815188,7.833063489,WL,Col-0,3,23.06.14,0.11002275
1.218718548,11.28081925,WL,Col-0,3,23.06.14,0.108034578
0.626437174,9.426505816,PreDawn,bg1,1,23.06.14,0.066454865
0.861815188,7.422946382,PreDawn,bg1,1,23.06.14,0.116101497
0.561095644,9.784399199,PreDawn,bg1,1,23.06.14,0.057345948
1.093728121,7.598180487,PreDawn,bg1,1,23.06.14,0.143946057
0.818749179,9.051534532,PreDawn,bg1,1,23.06.14,0.090454185
0.484368846,9.221571015,PreDawn,bg1,1,23.06.14,0.052525632
0.813551557,9.947753026,PreDawn,bg1,1,23.06.14,0.081782444
1.240251553,7.089061061,PreDawn,bg1,1,23.06.14,0.174952866
1.499390123,5.784458001,PreDawn,bg1,1,23.06.14,0.259210132
0.610101792,9.603719967,PreDawn,bg1,1,23.06.14,0.063527653
4.112061325,13.57420798,UV,Col-0,2,23.06.14,0.302931952
3.117830535,6.580436646,UV,Col-0,2,23.06.14,0.473802986
3.261136392,8.311987208,UV,Col-0,2,23.06.14,0.392341363
1.807534841,6.907391805,UV,Col-0,2,23.06.14,0.261681238
3.820499495,9.6606463,UV,Col-0,2,23.06.14,0.395470383
3.287372007,11.26275133,UV,Col-0,2,23.06.14,0.291880013
3.19059724,7.984289532,UV,Col-0,2,23.06.14,0.399609411
3.097782565,11.87978328,UV,Col-0,2,23.06.14,0.260760865
1.79466454,10.59250563,UV,Col-0,2,23.06.14,0.169427764
3.267076531,8.61344927,UV,Col-0,2,23.06.14,0.379299445
2.811418357,8.175116502,WL,bg1,2,23.06.14,0.343899485
2.483720681,8.745122354,WL,bg1,2,23.06.14,0.284012113
4.486042585,10.6425018,WL,bg1,2,23.06.14,0.421521431
