"Repeat","Plant","Treatment","Genotype","Stomata","Width","Length","Ratio"
1,1,"PreDawn","Col-0","1",1.813,8.145,0.222590546347452
1,1,"PreDawn","Col-0","2",1.487,6.391,0.232670943514317
1,1,"PreDawn","Col-0","3",1.604,7.93,0.202269861286255
1,1,"PreDawn","Col-0","4",1.379,8.444,0.163311226906679
1,1,"PreDawn","Col-0","5",1.241,6.826,0.181804863756226
1,1,"PreDawn","Col-0","6",2.561,9.374,0.273202474930659
1,1,"PreDawn","Col-0","7",1.136,5.319,0.213573980071442
1,1,"PreDawn","Col-0","8",0.873,5.169,0.168891468369124
1,1,"PreDawn","Col-0","9",1.839,10.434,0.17625071880391
1,1,"PreDawn","Col-0","10",1.578,5.29,0.298298676748582
1,1,"PreDawn","q1124","271",2.283,7.533,0.303066507367583
1,1,"PreDawn","q1124","272",2.49,6.176,0.403173575129534
1,1,"PreDawn","q1124","273",2.093,7.541,0.277549396631746
1,1,"PreDawn","q1124","274",3.184,8.412,0.37850689491203
1,1,"PreDawn","q1124","275",2.85,9.092,0.313462384513858
1,1,"PreDawn","q1124","276",3.101,8.141,0.380911435941531
1,1,"PreDawn","q1124","277",2.538,7.071,0.358930844293594
1,1,"PreDawn","q1124","278",3.742,14.89,0.251309603760913
1,1,"PreDawn","q1124","279",3.678,12.243,0.300416564567508
1,1,"PreDawn","q1124","280",2.825,7.692,0.367264690587624
1,1,"PreDawn","ost1-3","541",2.003,8.903,0.224980343704369
1,1,"PreDawn","ost1-3","542",1.642,8.577,0.191442229217675
1,1,"PreDawn","ost1-3","543",1.707,4.143,0.412020275162925
1,1,"PreDawn","ost1-3","544",1.036,8.458,0.122487585717664
1,1,"PreDawn","ost1-3","545",1.675,4.423,0.378702238299797
1,1,"PreDawn","ost1-3","546",1.52,6.295,0.241461477362987
1,1,"PreDawn","ost1-3","547",1.776,6.796,0.261330194231901
1,1,"PreDawn","ost1-3","548",2.311,6.033,0.383059837560086
1,1,"PreDawn","ost1-3","549",2.573,7.356,0.349782490483959
1,1,"PreDawn","ost1-3","550",2.022,7.28,0.277747252747253
1,1,"WL","Col-0","91",2.566,9.68,0.265082644628099
1,1,"WL","Col-0","92",2.354,7.52,0.313031914893617
1,1,"WL","Col-0","93",2.373,5.844,0.40605749486653
1,1,"WL","Col-0","94",2.008,5.449,0.368507983116168
1,1,"WL","Col-0","95",2.199,7.88,0.279060913705584
1,1,"WL","Col-0","96",3.458,12.84,0.269314641744548
1,1,"WL","Col-0","97",2.863,9.408,0.304315476190476
1,1,"WL","Col-0","98",2.254,7.825,0.288051118210863
1,1,"WL","Col-0","99",2.38,5.946,0.400269088462832
1,1,"WL","Col-0","100",1.751,6.158,0.284345566742449
1,1,"WL","q1124","361",1.989,8.875,0.224112676056338
1,1,"WL","q1124","362",2.449,5.477,0.44714259631185
1,1,"WL","q1124","363",4.139,12.492,0.331332052513609
1,1,"WL","q1124","364",2.26,6.834,0.330699443956687
1,1,"WL","q1124","365",2.16,5.207,0.41482619550605
1,1,"WL","q1124","366",2.77,8.49,0.326266195524146
1,1,"WL","q1124","367",3.564,14.127,0.252282862603525
1,1,"WL","q1124","368",3.783,7.686,0.492193598750976
1,1,"WL","q1124","369",2.615,7.605,0.343852728468113
1,1,"WL","q1124","370",3.471,10.01,0.346753246753247
1,1,"WL","ost1-3","631",3.102,8.713,0.356019740617468
1,1,"WL","ost1-3","632",2.09,7.53,0.277556440903054
1,1,"WL","ost1-3","633",1.904,6.849,0.277996787852241
1,1,"WL","ost1-3","634",3.104,9.039,0.343400818674632
1,1,"WL","ost1-3","635",2.25,5.89,0.382003395585739
1,1,"WL","ost1-3","636",3.812,8.976,0.424688057040998
1,1,"WL","ost1-3","637",2.25,6.995,0.321658327376698
1,1,"WL","ost1-3","638",3.047,6.782,0.449277499262754
1,1,"WL","ost1-3","639",2.935,6.98,0.420487106017192
1,1,"WL","ost1-3","640",1.886,9.109,0.207047974530684
1,1,"UVB","Col-0","181",4.136,12.383,0.334006298958249
1,1,"UVB","Col-0","182",2.689,6.906,0.389371560961483
1,1,"UVB","Col-0","183",2.615,5.905,0.442845046570703
1,1,"UVB","Col-0","184",3.047,8.365,0.364255827854154
1,1,"UVB","Col-0","185",4.094,10.004,0.409236305477809
1,1,"UVB","Col-0","186",2.408,6.439,0.373971113526945
1,1,"UVB","Col-0","187",3.834,8.172,0.469162995594714
1,1,"UVB","Col-0","188",1.847,3.305,0.558850226928896
1,1,"UVB","Col-0","189",3.101,7.482,0.414461373964181
1,1,"UVB","Col-0","190",3.57,9.868,0.361775435751925
1,1,"UVB","q1124","451",2.96,4.4,0.672727272727273
1,1,"UVB","q1124","452",3.7,4.869,0.759909632368043
1,1,"UVB","q1124","453",4.598,8.258,0.556793412448535
1,1,"UVB","q1124","454",3.536,9.4,0.376170212765957
1,1,"UVB","q1124","455",3.464,8.273,0.418711471050405
1,1,"UVB","q1124","456",3.359,7.699,0.436290427328224
1,1,"UVB","q1124","457",2.334,6.875,0.339490909090909
1,1,"UVB","q1124","458",2.952,8.058,0.366344005956813
1,1,"UVB","q1124","459",3.869,10.372,0.373023524874663
1,1,"UVB","q1124","460",2.693,5.612,0.479864575908767
1,1,"UVB","ost1-3","721",2.492,7.887,0.315962977050843
1,1,"UVB","ost1-3","722",2.071,8.834,0.234435136970795
1,1,"UVB","ost1-3","723",3.62,6.028,0.600530856005309
1,1,"UVB","ost1-3","724",2.793,6.85,0.407737226277372
1,1,"UVB","ost1-3","725",2.701,6.9,0.391449275362319
1,1,"UVB","ost1-3","726",2.971,7.324,0.405652648825778
1,1,"UVB","ost1-3","727",2.802,7.726,0.362671498835102
1,1,"UVB","ost1-3","728",1.751,6.55,0.267328244274809
1,1,"UVB","ost1-3","729",2.872,8.263,0.347573520513131
1,1,"UVB","ost1-3","730",1.89,4.066,0.464830300049188
1,2,"PreDawn","Col-0","11",1.886,4.729,0.398815817297526
1,2,"PreDawn","Col-0","12",1.834,8.93,0.205375139977604
1,2,"PreDawn","Col-0","13",2.1,13.105,0.160244181610073
1,2,"PreDawn","Col-0","14",0.561,12.532,0.0447654005745292
1,2,"PreDawn","Col-0","15",1.704,8.925,0.190924369747899
1,2,"PreDawn","Col-0","16",1.825,5.271,0.34623411117435
1,2,"PreDawn","Col-0","17",1.328,8.774,0.151356279917939
1,2,"PreDawn","Col-0","18",1.579,7.015,0.225089094796864
1,2,"PreDawn","Col-0","19",2.681,13.397,0.200119429723072
1,2,"PreDawn","Col-0","20",1.85,8.207,0.225417326672353
1,2,"PreDawn","q1124","281",2.392,7.484,0.319615179048637
1,2,"PreDawn","q1124","282",3.098,8.148,0.380216003927344
