Index,Width,Length,Time,Treatment,Age,Plant
0,4.334,26.391,120mins,WL,Mature,3
1,2.36,27.4,120mins,WL,Mature,3
2,3.773,26.776,120mins,WL,Mature,3
3,4.693,28.16,120mins,WL,Mature,3
4,6.013,25.72,120mins,WL,Mature,3
5,4.07,28.971,120mins,WL,Mature,3
6,1.641,25.904,120mins,WL,Mature,3
7,3.548,26.77,120mins,WL,Mature,3
8,4.838,23.629,120mins,WL,Mature,3
9,1.953,32.025,120mins,WL,Mature,3
10,6.172,22.605,120mins,WL,Mature,3
11,3.816,29.261,120mins,WL,Mature,3
12,7.531,26.295,0mins,Predawn,Mature,1
13,1.981,30.611,0mins,Predawn,Mature,1
14,1.397,30.628,0mins,Predawn,Mature,1
15,3.335,29.061,0mins,Predawn,Mature,1
16,3.49,30.423,0mins,Predawn,Mature,1
17,3.439,25.11,0mins,Predawn,Mature,1
18,2.098,27.424,0mins,Predawn,Mature,1
19,3.246,26.772,0mins,Predawn,Mature,1
20,3.19,23.483,0mins,Predawn,Mature,1
21,3.918,27.356,0mins,Predawn,Mature,1
22,1.902,37.869,0mins,Predawn,Mature,1
23,6.988,26.063,0mins,Predawn,Mature,1
24,3.384,31.887,360mins,FR,Mature,1
25,5.449,32.915,360mins,FR,Mature,1
26,11.555,38.529,360mins,FR,Mature,1
27,1.609,29.207,360mins,FR,Mature,1
28,3.412,33.862,360mins,FR,Mature,1
29,2.838,32.583,360mins,FR,Mature,1
30,4.696,38.85,360mins,FR,Mature,1
31,3.768,33.286,360mins,FR,Mature,1
32,3.941,34.276,360mins,FR,Mature,1
33,6.194,33.508,360mins,FR,Mature,1
34,2.801,34.361,360mins,FR,Mature,1
35,9.405,35.863,360mins,FR,Mature,1
36,7.088,35.665,240mins,WL,Mature,2
37,5.834,37.457,240mins,WL,Mature,2
38,10.255,31.561,240mins,WL,Mature,2
39,3.217,30.409,240mins,WL,Mature,2
40,5.789,34.031,240mins,WL,Mature,2
41,5.87,30.931,240mins,WL,Mature,2
42,4.891,33.168,240mins,WL,Mature,2
43,6.486,30.891,240mins,WL,Mature,2
44,8.651,33.688,240mins,WL,Mature,2
45,8.263,33.322,240mins,WL,Mature,2
46,5.618,27.46,240mins,WL,Mature,2
47,7.602,30.662,240mins,WL,Mature,2
48,9.92,38.774,360mins,WL,Cot,3
49,9.507,39.746,360mins,WL,Cot,3
50,6.351,36.629,360mins,WL,Cot,3
51,6.256,67.323,360mins,WL,Cot,3
52,3.516,34.962,360mins,WL,Cot,3
53,9.852,49.847,360mins,WL,Cot,3
54,6.43,42.883,360mins,WL,Cot,3
55,5.618,41.718,360mins,WL,Cot,3
56,10.817,46.232,360mins,WL,Cot,3
57,7.01,32.769,360mins,WL,Cot,3
58,12.571,33.566,360mins,WL,Cot,3
59,7.78,59.735,360mins,WL,Cot,3
60,8.622,39.726,0mins,Predawn,Cot,3
61,6.326,23.803,0mins,Predawn,Cot,3
62,6.752,29.759,0mins,Predawn,Cot,3
63,7.504,27.817,0mins,Predawn,Cot,3
64,6.97,26.498,0mins,Predawn,Cot,3
65,6.885,24.105,0mins,Predawn,Cot,3
66,7.073,36.72,0mins,Predawn,Cot,3
67,4.507,31.691,0mins,Predawn,Cot,3
68,6.312,33.074,0mins,Predawn,Cot,3
