"Repeat","Plant","Time","Treatment","Stomata","Width","Length","Ratio"
1,1,0,"PreDawn","1",1.003,NA,NA
1,1,0,"PreDawn","2",0.91,NA,NA
1,1,0,"PreDawn","3",1.147,NA,NA
1,1,0,"PreDawn","4",0.986,NA,NA
1,1,0,"PreDawn","5",1.521,NA,NA
1,1,0,"PreDawn","6",1.471,NA,NA
1,1,0,"PreDawn","7",1.525,NA,NA
1,1,0,"PreDawn","8",0.968,NA,NA
1,1,0,"PreDawn","9",1.692,NA,NA
1,1,0,"PreDawn","10",0.779,NA,NA
1,1,2,"WL","91",2.315,NA,NA
1,1,2,"WL","92",2.439,NA,NA
1,1,2,"WL","93",2.09,NA,NA
1,1,2,"WL","94",2.817,NA,NA
1,1,2,"WL","95",1.721,NA,NA
1,1,2,"WL","96",2.616,NA,NA
1,1,2,"WL","97",2.636,NA,NA
1,1,2,"WL","98",2.897,NA,NA
1,1,2,"WL","99",2.404,NA,NA
1,1,2,"WL","100",2.747,NA,NA
1,1,2,"UVB","181",2.74,NA,NA
1,1,2,"UVB","182",2.191,NA,NA
1,1,2,"UVB","183",2.287,NA,NA
1,1,2,"UVB","184",2.105,NA,NA
1,1,2,"UVB","185",1.871,NA,NA
1,1,2,"UVB","186",3.39,NA,NA
1,1,2,"UVB","187",2.324,NA,NA
1,1,2,"UVB","188",2.332,NA,NA
1,1,2,"UVB","189",2.342,NA,NA
1,1,2,"UVB","190",2.302,NA,NA
1,1,4,"WL","271",1.937,10.341,0.187312639009767
1,1,4,"WL","272",2.818,11.947,0.235875115091655
1,1,4,"WL","273",2.788,9.681,0.28798677822539
1,1,4,"WL","274",3.303,10.884,0.303472987872106
1,1,4,"WL","275",3.235,11.079,0.291993862261937
1,1,4,"WL","276",3.187,9.484,0.336039645719106
1,1,4,"WL","277",3.06,9.82,0.311608961303462
1,1,4,"WL","278",3.7,7.213,0.512962706224872
1,1,4,"WL","279",3.645,9.345,0.390048154093098
1,1,4,"WL","280",2.369,11.277,0.210073601135054
1,1,4,"UVB","361",3.097,6.804,0.45517342739565
1,1,4,"UVB","362",2.44,6.591,0.370201790320134
1,1,4,"UVB","363",3.03,5.567,0.544278785701455
1,1,4,"UVB","364",2.557,7.341,0.348317667892658
1,1,4,"UVB","365",3.172,8.585,0.369481654047758
1,1,4,"UVB","366",2.868,8.089,0.354555569291631
1,1,4,"UVB","367",2.477,8.111,0.305387745037603
1,1,4,"UVB","368",2.446,10.492,0.233130003812429
1,1,4,"UVB","369",2.342,6.533,0.358487677942752
1,1,4,"UVB","370",2.448,8.97,0.272909698996656
1,1,6,"WL","451",3.221,10.858,0.296647633081599
1,1,6,"WL","452",2.733,10.867,0.251495352903285
1,1,6,"WL","453",1.952,6.358,0.307014784523435
1,1,6,"WL","454",3.111,10.034,0.310045844129958
1,1,6,"WL","455",2.038,9.246,0.220419640925806
1,1,6,"WL","456",2.206,7.854,0.28087598675834
1,1,6,"WL","457",3.528,8.243,0.427999514739779
1,1,6,"WL","458",2.578,8.541,0.301838192249151
1,1,6,"WL","459",2.917,11.252,0.259242801279772
1,1,6,"WL","460",2.708,8.89,0.304611923509561
1,1,6,"UVB","541",2.604,13.098,0.198808978469995
1,1,6,"UVB","542",3.795,12.13,0.312860676009893
1,1,6,"UVB","543",3.384,12.888,0.262569832402235
1,1,6,"UVB","544",3.042,8.236,0.369354055366683
1,1,6,"UVB","545",2.603,9.815,0.265206316861946
1,1,6,"UVB","546",3.899,11.581,0.33667213539418
1,1,6,"UVB","547",4.46,12.669,0.35204041360802
1,1,6,"UVB","548",4.567,8.403,0.543496370343925
1,1,6,"UVB","549",3.063,8.479,0.3612454298856
1,1,6,"UVB","550",3.239,11.992,0.270096731154103
1,2,0,"PreDawn","11",0.787,NA,NA
1,2,0,"PreDawn","12",0.574,NA,NA
1,2,0,"PreDawn","13",1.331,NA,NA
1,2,0,"PreDawn","14",2.008,NA,NA
1,2,0,"PreDawn","15",1.505,NA,NA
1,2,0,"PreDawn","16",1.972,NA,NA
1,2,0,"PreDawn","17",1.892,NA,NA
1,2,0,"PreDawn","18",2.123,NA,NA
1,2,0,"PreDawn","19",2.079,NA,NA
1,2,0,"PreDawn","20",1.381,NA,NA
1,2,2,"WL","101",1.056,NA,NA
1,2,2,"WL","102",1.775,NA,NA
1,2,2,"WL","103",1.936,NA,NA
1,2,2,"WL","104",2.68,NA,NA
1,2,2,"WL","105",2.738,NA,NA
1,2,2,"WL","106",2.738,NA,NA
1,2,2,"WL","107",2.264,NA,NA
1,2,2,"WL","108",2.052,NA,NA
1,2,2,"WL","109",1.847,NA,NA
1,2,2,"WL","110",2.463,NA,NA
1,2,2,"UVB","191",2.253,NA,NA
1,2,2,"UVB","192",2.315,NA,NA
1,2,2,"UVB","193",2.613,NA,NA
1,2,2,"UVB","194",3.779,NA,NA
1,2,2,"UVB","195",2.854,NA,NA
1,2,2,"UVB","196",3.372,NA,NA
1,2,2,"UVB","197",2.04,NA,NA
