"Repeat","Plant","Treatment","Stomata","Width","Length","Ratio"
1,1,"WL","1",4.172,7.267,0.574102105408009
1,1,"WL","2",3.494,10.218,0.341945586220395
1,1,"WL","3",3.806,8.176,0.465508806262231
1,1,"WL","4",4.329,9.94,0.435513078470825
1,1,"WL","5",3.51,7.618,0.460750853242321
1,1,"WL","6",2.751,6.508,0.422710510141364
1,1,"WL","7",4.515,7.955,0.567567567567568
1,1,"WL","8",4.691,8.959,0.523607545484987
1,1,"WL","9",4.218,8.072,0.522547076313181
1,1,"WL","10",3.403,9.944,0.342216411906677
1,1,"UVB","91",4.548,8.379,0.542785535266738
1,1,"UVB","92",4.515,9.314,0.484754133562379
1,1,"UVB","93",5.218,7.575,0.688844884488449
1,1,"UVB","94",4.987,8.072,0.617814667988107
1,1,"UVB","95",4.025,7.703,0.522523692068026
1,1,"UVB","96",3.82,6.697,0.570404658802449
1,1,"UVB","97",5.581,8.363,0.667344254454143
1,1,"UVB","98",4.668,11.546,0.404295860038108
1,1,"UVB","99",3.591,7.729,0.464613792211153
1,1,"UVB","100",5.134,8.785,0.584405236198065
1,2,"WL","11",3.438,5.926,0.580155248059399
1,2,"WL","12",5.521,7.772,0.710370560988163
1,2,"WL","13",2.428,7.198,0.337315921089191
1,2,"WL","14",2.363,8.162,0.289512374418035
1,2,"WL","15",2.291,6.265,0.365682362330407
1,2,"WL","16",2.37,7.738,0.306280692685448
1,2,"WL","17",3.342,6.409,0.521454205024185
1,2,"WL","18",4.158,5.858,0.709798566063503
1,2,"WL","19",3.43,6.133,0.559269525517691
1,2,"WL","20",3.816,6.669,0.572199730094467
1,2,"UVB","101",3.986,5.178,0.76979528775589
1,2,"UVB","102",4.911,6.097,0.805478103985567
1,2,"UVB","103",3.856,6.791,0.567810337211014
1,2,"UVB","104",2.552,7.222,0.353364718914428
1,2,"UVB","105",4.094,5.883,0.695903450620432
1,2,"UVB","106",4.645,8.411,0.552253002021163
1,2,"UVB","107",4.602,5.938,0.77500842034355
1,2,"UVB","108",3.034,7.136,0.425168161434978
1,2,"UVB","109",3.492,6.937,0.503387631541012
