"Repeat","Plant","Treatment","Genotype","Stomata","Width","Length","Ratio"
1,1,"PreDawn","Col-0","1",2.209,5.784,0.381915629322268
1,1,"PreDawn","Col-0","2",2.049,11.144,0.18386575735822
1,1,"PreDawn","Col-0","3",2.243,11.311,0.198302537353019
1,1,"PreDawn","Col-0","4",1.717,10.692,0.1605873550318
1,1,"PreDawn","Col-0","5",1.775,5.381,0.329864337483739
1,1,"PreDawn","Col-0","6",2.57,9.735,0.263995891114535
1,1,"PreDawn","Col-0","7",2.412,11.897,0.202740186601664
1,1,"PreDawn","Col-0","8",0.931,10.188,0.0913820180604633
1,1,"PreDawn","Col-0","9",1.777,12.652,0.140452102434398
1,1,"PreDawn","Col-0","10",0.793,9.342,0.0848854634981803
1,1,"PreDawn","tt4","271",1.119,9.656,0.115886495443248
1,1,"PreDawn","tt4","272",1.993,9.23,0.215926327193933
1,1,"PreDawn","tt4","273",2.345,6.889,0.340397735520395
1,1,"PreDawn","tt4","274",1.563,5.53,0.282640144665461
1,1,"PreDawn","tt4","275",1.611,9.118,0.176683483220004
1,1,"PreDawn","tt4","276",1.59,5.415,0.293628808864266
1,1,"PreDawn","tt4","277",1.464,4.344,0.337016574585635
1,1,"PreDawn","tt4","278",1.508,6.478,0.232787897499228
1,1,"PreDawn","tt4","279",0.521,12.512,0.0416400255754476
1,1,"PreDawn","tt4","280",2.487,7.341,0.338782182263997
1,1,"WL","Col-0","91",1.854,9.199,0.201543646048484
1,1,"WL","Col-0","92",2.764,10.741,0.257331719579183
1,1,"WL","Col-0","93",2.792,6.698,0.416840848014333
1,1,"WL","Col-0","94",1.983,9.225,0.214959349593496
1,1,"WL","Col-0","95",1.781,9.476,0.187948501477417
1,1,"WL","Col-0","96",2.098,7.154,0.293262510483645
1,1,"WL","Col-0","97",2.856,6.781,0.421176817578528
1,1,"WL","Col-0","98",2.514,7.645,0.328842380640942
1,1,"WL","Col-0","99",1.978,7.089,0.279023839751728
1,1,"WL","Col-0","100",2.071,7.459,0.277651159672878
1,1,"WL","tt4","361",1.8,6.707,0.268376323244372
1,1,"WL","tt4","362",4.295,11.686,0.367533801129557
1,1,"WL","tt4","363",1.938,7.558,0.256417041545382
1,1,"WL","tt4","364",2.74,9.502,0.288360345190486
1,1,"WL","tt4","365",1.99,7.392,0.269209956709957
1,1,"WL","tt4","366",2.209,4.501,0.490779826705177
1,1,"WL","tt4","367",1.525,7.5,0.203333333333333
1,1,"WL","tt4","368",3.658,10.013,0.365325077399381
1,1,"WL","tt4","369",2.742,10.426,0.262996355265682
1,1,"WL","tt4","370",1.813,4.666,0.388555507929704
1,1,"UVB","Col-0","181",3.328,9.495,0.350500263296472
1,1,"UVB","Col-0","182",4.079,9.712,0.419995881383855
1,1,"UVB","Col-0","183",3.147,9.205,0.341879413362303
1,1,"UVB","Col-0","184",3.467,7.912,0.43819514661274
1,1,"UVB","Col-0","185",2.495,5.437,0.458892771749126
1,1,"UVB","Col-0","186",2.93,9.74,0.30082135523614
1,1,"UVB","Col-0","187",3.074,8.42,0.365083135391924
1,1,"UVB","Col-0","188",2.666,6.145,0.433848657445077
1,1,"UVB","Col-0","189",2.633,7.872,0.33447662601626
1,1,"UVB","Col-0","190",3.257,10.694,0.304563306527025
1,1,"UVB","tt4","451",2.931,6.673,0.439232728907538
1,1,"UVB","tt4","452",1.857,6.004,0.30929380413058
1,1,"UVB","tt4","453",2.195,8.596,0.255351326198232
1,1,"UVB","tt4","454",2.858,5.075,0.563152709359606
1,1,"UVB","tt4","455",2.123,9.554,0.222210592422022
1,1,"UVB","tt4","456",2.076,4.026,0.51564828614009
1,1,"UVB","tt4","457",2.276,6.527,0.348705377662019
1,1,"UVB","tt4","458",1.646,8.442,0.194977493484956
1,1,"UVB","tt4","459",2.148,9.899,0.216991615314678
1,1,"UVB","tt4","460",2.572,6.889,0.373348816954565
1,2,"PreDawn","Col-0","11",1.775,10.812,0.16416944136145
1,2,"PreDawn","Col-0","12",2.248,8.891,0.252839950511754
1,2,"PreDawn","Col-0","13",2.585,8.954,0.288697788697789
1,2,"PreDawn","Col-0","14",2.141,6.399,0.334583528676356
1,2,"PreDawn","Col-0","15",1.952,9.335,0.209105516871987
1,2,"PreDawn","Col-0","16",1.642,8.706,0.188605559384333
1,2,"PreDawn","Col-0","17",0.906,4.067,0.222768625522498
1,2,"PreDawn","Col-0","18",2.627,8.049,0.326375947322649
1,2,"PreDawn","Col-0","19",1.382,5.906,0.233999322722655
1,2,"PreDawn","Col-0","20",1.354,5.025,0.269452736318408
1,2,"PreDawn","tt4","281",2.237,8.946,0.250055890900961
1,2,"PreDawn","tt4","282",2.256,5.205,0.43342939481268
1,2,"PreDawn","tt4","283",2.105,12.399,0.169771755786757
1,2,"PreDawn","tt4","284",2.133,8.725,0.244469914040115
1,2,"PreDawn","tt4","285",1.485,5.997,0.247623811905953
1,2,"PreDawn","tt4","286",1.729,6.835,0.252962692026335
1,2,"PreDawn","tt4","287",2.105,5.824,0.36143543956044
1,2,"PreDawn","tt4","288",1.955,6.874,0.284405004364271
1,2,"PreDawn","tt4","289",2.439,5.124,0.475995316159251
1,2,"PreDawn","tt4","290",1.445,12.324,0.117250892567348
1,2,"WL","Col-0","101",2.407,12.382,0.194395089646261
1,2,"WL","Col-0","102",3.896,8.56,0.455140186915888
1,2,"WL","Col-0","103",1.27,11.275,0.112638580931264
1,2,"WL","Col-0","104",1.724,8.107,0.212655729616381
1,2,"WL","Col-0","105",2.162,9.664,0.223716887417219
1,2,"WL","Col-0","106",1.899,3.737,0.508161626973508
1,2,"WL","Col-0","107",2.702,10.706,0.252381841957781
1,2,"WL","Col-0","108",1.984,6.689,0.296606368664972
1,2,"WL","Col-0","109",2.733,9.344,0.292487157534247
1,2,"WL","Col-0","110",2.683,5.503,0.48755224423042
1,2,"WL","tt4","371",3.091,9.783,0.315956250638863
1,2,"WL","tt4","372",2.488,9.724,0.25586178527355
1,2,"WL","tt4","373",2.445,7.792,0.313783367556468
1,2,"WL","tt4","374",3.964,11.635,0.340696175333047
1,2,"WL","tt4","375",2.803,7.89,0.355259822560203
1,2,"WL","tt4","376",1.614,10.761,0.149986060775021
1,2,"WL","tt4","377",2.162,5.8,0.372758620689655
1,2,"WL","tt4","378",1.927,9.817,0.196292146276867
1,2,"WL","tt4","379",3.019,9.688,0.311622625928984
1,2,"WL","tt4","380",2.291,8.277,0.276791107889332
1,2,"UVB","Col-0","191",1.496,5.035,0.297120158887785
1,2,"UVB","Col-0","192",2.971,9.059,0.327961143614085
1,2,"UVB","Col-0","193",3.031,7.055,0.429624379872431
1,2,"UVB","Col-0","194",2.885,9.491,0.303972184174481
1,2,"UVB","Col-0","195",2.7,10.042,0.268870742879904
1,2,"UVB","Col-0","196",2.804,8.967,0.312702130032341
1,2,"UVB","Col-0","197",1.632,6.827,0.239050827596309
1,2,"UVB","Col-0","198",2.71,5.99,0.452420701168614
1,2,"UVB","Col-0","199",2.616,7.312,0.357768052516411
1,2,"UVB","Col-0","200",2.293,6.195,0.370137207425343
1,2,"UVB","tt4","461",3.061,6.952,0.440304948216341
1,2,"UVB","tt4","462",2.602,9.758,0.26665300266448
1,2,"UVB","tt4","463",2.932,9.839,0.297997764000407
1,2,"UVB","tt4","464",3.541,8.68,0.40794930875576
1,2,"UVB","tt4","465",1.984,6.332,0.313329121920404
1,2,"UVB","tt4","466",2.451,5.334,0.459505061867267
1,2,"UVB","tt4","467",1.578,7.901,0.199721554233641
1,2,"UVB","tt4","468",2.78,4.748,0.585509688289806
1,2,"UVB","tt4","469",2.797,9.45,0.295978835978836
1,2,"UVB","tt4","470",1.578,4.199,0.375803762800667
1,3,"PreDawn","Col-0","21",2.113,5.565,0.379694519317161
1,3,"PreDawn","Col-0","22",2.071,9.549,0.216881348832339
1,3,"PreDawn","Col-0","23",1.506,8.313,0.181162035366294
1,3,"PreDawn","Col-0","24",1.37,6.558,0.208905154010369
1,3,"PreDawn","Col-0","25",1.391,7.275,0.191202749140893
1,3,"PreDawn","Col-0","26",2.063,9.726,0.212111865103845
1,3,"PreDawn","Col-0","27",1.99,7.44,0.26747311827957
1,3,"PreDawn","Col-0","28",1.978,9.855,0.200710299340436
1,3,"PreDawn","Col-0","29",2.155,7.438,0.289728421618715
1,3,"PreDawn","Col-0","30",2.263,6.781,0.333726588998673
1,3,"PreDawn","tt4","291",1.768,7.562,0.233800581856652
1,3,"PreDawn","tt4","292",2.529,7.674,0.3295543393276
1,3,"PreDawn","tt4","293",1.944,5.476,0.35500365230095
1,3,"PreDawn","tt4","294",1.709,9.693,0.17631280305375
1,3,"PreDawn","tt4","295",1.198,6.124,0.195623775310255
1,3,"PreDawn","tt4","296",1.341,9.831,0.136405248703082
1,3,"PreDawn","tt4","297",1.894,3.11,0.609003215434084
1,3,"PreDawn","tt4","298",2.912,9.77,0.298055271238485
1,3,"PreDawn","tt4","299",3.017,11.625,0.25952688172043
1,3,"PreDawn","tt4","300",1.715,5.955,0.2879932829555
1,3,"WL","Col-0","111",2.746,8.306,0.330604382374187
1,3,"WL","Col-0","112",2.672,6.425,0.415875486381323
1,3,"WL","Col-0","113",2.417,11.251,0.214825348857879
1,3,"WL","Col-0","114",2.454,9.415,0.26064790228359
1,3,"WL","Col-0","115",3.839,11.686,0.328512750299504
1,3,"WL","Col-0","116",2.7,6.244,0.432415118513773
1,3,"WL","Col-0","117",1.601,10.333,0.154940481951031
1,3,"WL","Col-0","118",1.222,11.01,0.110990009082652
1,3,"WL","Col-0","119",2.684,7.316,0.366867140513942
1,3,"WL","Col-0","120",3.316,9.408,0.352465986394558
1,3,"WL","tt4","381",2.337,6.174,0.378522837706511
1,3,"WL","tt4","382",2.63,9.352,0.281223267750214
1,3,"WL","tt4","383",3.473,11.408,0.304435483870968
1,3,"WL","tt4","384",2.647,8.799,0.300829639731788
1,3,"WL","tt4","385",2.299,7.645,0.300719424460432
1,3,"WL","tt4","386",2.572,9.097,0.282730570517753
1,3,"WL","tt4","387",2.063,7.744,0.26639979338843
1,3,"WL","tt4","388",2.845,7.892,0.360491637100862
1,3,"WL","tt4","389",2.363,8.498,0.278065427159332
1,3,"WL","tt4","390",2.392,7.177,0.333286888672147
1,3,"UVB","Col-0","201",3.09,8.876,0.34812978819288
1,3,"UVB","Col-0","202",2.809,7.27,0.386382393397524
1,3,"UVB","Col-0","203",2.924,11.77,0.248428207306712
1,3,"UVB","Col-0","204",3.005,8.32,0.361177884615385
1,3,"UVB","Col-0","205",2.661,6.397,0.415976238861967
1,3,"UVB","Col-0","206",4.112,8.302,0.495302336786317
1,3,"UVB","Col-0","207",3.777,16.167,0.233624048988681
1,3,"UVB","Col-0","208",3.22,8.092,0.397923875432526
1,3,"UVB","Col-0","209",3.248,9.502,0.34182277415281
1,3,"UVB","Col-0","210",3.253,12.136,0.268045484508899
1,3,"UVB","tt4","471",2.947,8.329,0.353823988474006
1,3,"UVB","tt4","472",3.932,11.963,0.328680096965644
1,3,"UVB","tt4","473",2.21,9.544,0.231559094719195
1,3,"UVB","tt4","474",2.458,5.684,0.432441942294159
1,3,"UVB","tt4","475",2.472,6.915,0.357483731019523
1,3,"UVB","tt4","476",2.545,10.068,0.252781088597537
1,3,"UVB","tt4","477",3.464,9.952,0.348070739549839
1,3,"UVB","tt4","478",1.724,5.777,0.298424787952224
1,3,"UVB","tt4","479",3.81,10.157,0.375110761051492
1,3,"UVB","tt4","480",3.111,9.682,0.321317909522826
2,1,"PreDawn","Col-0","31",2.098,9.446,0.22210459453737
2,1,"PreDawn","Col-0","32",2.266,5.73,0.395462478184991
2,1,"PreDawn","Col-0","33",1.674,7.024,0.238325740318907
2,1,"PreDawn","Col-0","34",2.34,6.132,0.38160469667319
2,1,"PreDawn","Col-0","35",1.878,4.936,0.380470016207455
2,1,"PreDawn","Col-0","36",1.891,6.574,0.287648311530271
2,1,"PreDawn","Col-0","37",1.6,9.183,0.174234999455516
2,1,"PreDawn","Col-0","38",1.656,7.247,0.228508348282048
2,1,"PreDawn","Col-0","39",1.604,9.656,0.166114333057167
2,1,"PreDawn","Col-0","40",1.554,4.378,0.354956601187757
2,1,"PreDawn","tt4","301",1.238,7.345,0.16855003403676
