Index,Width,Length,Treatment,Temp,Plant,Repeat
0,11.614,51.187,WL,20,3,1
1,11.253,46.061,WL,20,3,1
2,5.922,24.801,WL,20,3,1
3,12.372,40.051,WL,20,3,1
4,5.025,21.708,WL,20,3,1
5,2.358,43.39,WL,20,3,1
6,4.776,36.705,WL,20,3,1
7,3.02,40.841,WL,20,3,1
8,5.306,48.27,WL,20,3,1
9,8.42,41.408,WL,20,3,1
10,8.61,50.669,WL,20,3,1
11,13.098,44.118,WL,20,3,1
12,6.422,36.853,WL,20,1,1
13,5.031,43.329,WL,20,1,1
14,4.834,31.091,WL,20,1,1
15,10.593,31.753,WL,20,1,1
16,7.994,49.025,WL,20,1,1
17,7.334,39.4,WL,20,1,1
18,9.883,31.383,WL,20,1,1
19,3.661,46.652,WL,20,1,1
20,9.352,50.189,WL,20,1,1
21,7.938,35.278,WL,20,1,1
22,10.146,31.649,WL,20,1,1
23,2.206,40.16,WL,20,1,1
24,9.134,31.232,WL,28,3,1
25,9.503,50.25,WL,28,3,1
26,4.991,35.376,WL,28,3,1
27,4.756,35.696,WL,28,3,1
28,6.212,41.452,WL,28,3,1
29,7.97,44.584,WL,28,3,1
30,9.511,33.958,WL,28,3,1
31,5.89,33.729,WL,28,3,1
32,4.809,54.304,WL,28,3,1
33,8.754,47.104,WL,28,3,1
34,4.25,43.515,WL,28,3,1
35,6.56,34.694,WL,28,3,1
36,19.185,59.717,UV,20,4,1
37,11.237,34.522,UV,20,4,1
38,13.582,47.049,UV,20,4,1
39,12.001,39.644,UV,20,4,1
40,10.68,33.7,UV,20,4,1
41,13.141,36.118,UV,20,4,1
42,16.004,48.562,UV,20,4,1
43,7.442,42.343,UV,20,4,1
44,13.688,57.968,UV,20,4,1
45,12.212,40.64,UV,20,4,1
46,8.857,24.701,UV,20,4,1
47,12.189,32.125,UV,20,4,1
48,16.25,35.453,UV,28,2,1
49,17.563,42.215,UV,28,2,1
50,15.119,37.276,UV,28,2,1
51,11.03,28.388,UV,28,2,1
52,11.419,45.084,UV,28,2,1
53,17.442,58.409,UV,28,2,1
54,11.579,45.354,UV,28,2,1
55,16.827,53.826,UV,28,2,1
56,12.702,47.508,UV,28,2,1
57,18.302,47.247,UV,28,2,1
58,15.205,50.087,UV,28,2,1
59,15.144,58.108,UV,28,2,1
60,11.245,24.931,UV,28,3,1
61,13.376,58.626,UV,28,3,1
62,13.785,36.013,UV,28,3,1
63,10.61,32.043,UV,28,3,1
64,11.18,43.604,UV,28,3,1
65,11.555,35.789,UV,28,3,1
66,22.186,47.719,UV,28,3,1
67,14.478,27.981,UV,28,3,1
68,15.393,30.31,UV,28,3,1
69,15.432,33.48,UV,28,3,1
70,13.14,33.696,UV,28,3,1
71,15.047,36.599,UV,28,3,1
72,11.824,40.011,UV,28,4,1
73,12.495,38.553,UV,28,4,1
74,13.807,49.437,UV,28,4,1
75,12.824,56.532,UV,28,4,1
76,15.9,66.093,UV,28,4,1
77,12.332,50.848,UV,28,4,1
78,15.07,27.948,UV,28,4,1
79,13.604,42.677,UV,28,4,1
80,15.646,64.455,UV,28,4,1
81,10.666,42.34,UV,28,4,1
82,17,28.527,UV,28,4,1
83,9.361,35.657,UV,28,4,1
84,15.91,45.613,UV,28,1,1
85,13.887,49.678,UV,28,1,1
86,12.719,35.595,UV,28,1,1
87,14.375,33.491,UV,28,1,1
88,13.179,39.031,UV,28,1,1
89,17.202,44.422,UV,28,1,1
90,15.876,36.002,UV,28,1,1
91,12.374,31.406,UV,28,1,1
92,14.655,45.482,UV,28,1,1
93,19.391,49.852,UV,28,1,1
94,11.203,38.345,UV,28,1,1
95,11.909,32.079,UV,28,1,1
96,6.001,39.753,Predawn,Predawn,3,1
97,3.923,47.582,Predawn,Predawn,3,1
98,6.611,41.043,Predawn,Predawn,3,1
99,10.124,23.934,Predawn,Predawn,3,1
100,5.87,42.431,Predawn,Predawn,3,1
101,3.893,45.625,Predawn,Predawn,3,1
102,3.226,43.775,Predawn,Predawn,3,1
103,4.18,29.113,Predawn,Predawn,3,1
104,5.991,47.329,Predawn,Predawn,3,1
105,6.205,19.767,Predawn,Predawn,3,1
106,9.708,51.407,Predawn,Predawn,3,1
107,4.348,28.952,Predawn,Predawn,3,1
108,13.445,27.785,UV,20,1,1
109,11.131,35.218,UV,20,1,1
110,11.941,44.066,UV,20,1,1
111,13.173,47.878,UV,20,1,1
112,11.449,34.398,UV,20,1,1
113,7.6,42.97,UV,20,1,1
114,9.667,45.763,UV,20,1,1
115,10.05,51.63,UV,20,1,1
116,11.378,36.195,UV,20,1,1
117,10.483,53.048,UV,20,1,1
118,10.678,26.617,UV,20,1,1
119,8.772,35.367,UV,20,1,1
120,9.779,40.752,WL,28,4,1
121,3.746,49.422,WL,28,4,1
122,7.99,33.815,WL,28,4,1
123,6.554,39.051,WL,28,4,1
124,11.376,62.566,WL,28,4,1
125,8.75,41.152,WL,28,4,1
126,5.513,41.881,WL,28,4,1
