"Genotype","Treatment","ROI","F0","FM","FvFm","Repeat"
"Col-0","FR","0001-0057-0218",89.536,420.631,0.787138846162076,1
"Col-0","FR","0001-0072-0188",96.694,456.398,0.788136670186986,1
"Col-0","FR","0001-0107-0159",91.157,419.94,0.782928513597181,1
"Col-0","FR","0001-0109-0187",96.754,448.954,0.784490170485172,1
"Col-0","FR","0001-0128-0212",94.805,446.69,0.78776108710739,1
"Col-0","FR","0001-0143-0178",92.214,442.371,0.791546010023261,1
"Col-0","FR","0001-0150-0241",105.5,483.378,0.78174430776742,1
"Col-0","FR","0001-0153-0215",97.026,456.276,0.787352391973279,1
"Col-0","FR","0001-0166-0162",87.768,407.101,0.784407309242669,1
"Col-0","FR","0001-0168-0232",99.926,454.864,0.780316754018784,1
"Col-0","FRUV","0057-0183",85.663,383.186,0.776445381616239,1
"Col-0","FRUV","0057-0272",86.92,387.655,0.775780010576415,1
"Col-0","FRUV","0076-0257",88.443,396.405,0.776887274378477,1
"Col-0","FRUV","0082-0215",86.291,390.953,0.779280373855681,1
"Col-0","FRUV","0088-0176",86.167,393.933,0.781264834375389,1
"Col-0","FRUV","0097-0248",90.393,401.202,0.77469454289859,1
"Col-0","FRUV","0101-0208",83.422,376.961,0.778698592162054,1
"Col-0","FRUV","0101-0312",82.884,365.389,0.773162300999756,1
"Col-0","FRUV","0105-0238",89.314,395.78,0.774334226085199,1
"Col-0","FRUV","0106-0253",87.621,392.932,0.777007217533823,1
"Col-0","UV","0057-0196",92.423,422.691,0.781346184328505,1
"Col-0","UV","0077-0160",83.267,388.076,0.785436357826817,1
"Col-0","UV","0081-0177",91.952,419.762,0.780942534102658,1
"Col-0","UV","0116-0163",88.967,398.678,0.776844972634557,1
"Col-0","UV","0129-0213",95.333,420.051,0.773044225582132,1
"Col-0","UV","0140-0188",96.816,423.123,0.771187101622932,1
"Col-0","UV","0153-0235",97.792,435.336,0.775364316298216,1
"Col-0","UV","0165-0186",95.393,427.196,0.776699688199328,1
"Col-0","UV","0168-0225",94.547,422.248,0.77608656524128,1
"Col-0","UV","0174-0209",93.387,421.978,0.778692254098555,1
"Col-0","WL","0077-0200",91.239,438.424,0.791893235771764,1
"Col-0","WL","0109-0266",96.845,441.194,0.780493388396034,1
"Col-0","WL","0123-0166",96.452,445.484,0.783489418250712,1
"Col-0","WL","0138-0155",91.939,436.009,0.789135086661055,1
"Col-0","WL","0188-0229",98.879,445.424,0.778011512626172,1
"Col-0","WL","0196-0252",88.57,411.215,0.784613888112058,1
"Col-0","WL","0199-0197",92.073,430.315,0.786033487096662,1
"Col-0","WL","0214-0211",96.704,454.085,0.787035466927998,1
"Col-0","WL","0226-0268",98.072,466.623,0.789826048008778,1
"Col-0","WL","0234-0146",98.839,467.856,0.788740552648678,1
"pif4-101","FR","0223-0452",95.632,447.184,0.786146194854914,1
"pif4-101","FR","0250-0452",91.59,438.096,0.790936233154377,1
"pif4-101","FR","0260-0348",89.887,402.127,0.776471114846802,1
"pif4-101","FR","0264-0386",91.477,416.215,0.780216955179414,1
"pif4-101","FR","0268-0363",88.529,401.897,0.779722167620062,1
"pif4-101","FR","0319-0427",98.875,473.354,0.791118275117565,1
"pif4-101","FR","0332-0355",101.942,465.023,0.78078073557652,1
